,number,value,datetime_start,datetime_complete,duration,params_feat,params_rf_max_depth,params_rf_max_feat,state
167,167,0.86875,2022-10-29 16:35:01.047009,2022-10-29 16:35:01.410856,0 days 00:00:00.363847,1311,50.0,10,COMPLETE
168,168,0.8609375,2022-10-29 16:35:01.411327,2022-10-29 16:35:01.779935,0 days 00:00:00.368608,1361,50.0,30,COMPLETE
169,169,0.8671875,2022-10-29 16:35:01.780500,2022-10-29 16:35:02.127506,0 days 00:00:00.347006,1191,50.0,10,COMPLETE
170,170,0.8578125,2022-10-29 16:35:02.128293,2022-10-29 16:35:02.626652,0 days 00:00:00.498359,1291,50.0,70,COMPLETE
171,171,0.86875,2022-10-29 16:35:02.627775,2022-10-29 16:35:02.956456,0 days 00:00:00.328681,1181,50.0,10,COMPLETE
172,172,0.8453125,2022-10-29 16:35:02.956923,2022-10-29 16:35:03.258271,0 days 00:00:00.301348,1151,50.0,30,COMPLETE
173,173,0.8796875,2022-10-29 16:35:03.258726,2022-10-29 16:35:03.536780,0 days 00:00:00.278054,1221,50.0,10,COMPLETE
174,174,0.85,2022-10-29 16:35:03.537236,2022-10-29 16:35:03.880184,0 days 00:00:00.342948,1221,50.0,30,COMPLETE
175,175,0.8546875,2022-10-29 16:35:03.880651,2022-10-29 16:35:04.661716,0 days 00:00:00.781065,1451,50.0,50,COMPLETE
176,176,0.875,2022-10-29 16:35:04.662200,2022-10-29 16:35:04.964347,0 days 00:00:00.302147,1191,50.0,10,COMPLETE
177,177,0.8546875,2022-10-29 16:35:04.964831,2022-10-29 16:35:05.324642,0 days 00:00:00.359811,1261,50.0,30,COMPLETE
178,178,0.86875,2022-10-29 16:35:05.325117,2022-10-29 16:35:05.644035,0 days 00:00:00.318918,1361,50.0,10,COMPLETE
179,179,0.8484375,2022-10-29 16:35:05.644498,2022-10-29 16:35:06.055256,0 days 00:00:00.410758,1321,50.0,50,COMPLETE
180,180,0.821875,2022-10-29 16:35:06.055816,2022-10-29 16:35:06.806998,0 days 00:00:00.751182,1461,50.0,270,COMPLETE
181,181,0.865625,2022-10-29 16:35:06.807582,2022-10-29 16:35:07.122937,0 days 00:00:00.315355,1161,50.0,10,COMPLETE
182,182,0.8515625,2022-10-29 16:35:07.123722,2022-10-29 16:35:07.409625,0 days 00:00:00.285903,1031,50.0,10,COMPLETE
183,183,0.8671875,2022-10-29 16:35:07.410105,2022-10-29 16:35:07.841749,0 days 00:00:00.431644,1331,50.0,30,COMPLETE
184,184,0.8828125,2022-10-29 16:35:07.842265,2022-10-29 16:35:08.149347,0 days 00:00:00.307082,1101,50.0,10,COMPLETE
185,185,0.8390625,2022-10-29 16:35:08.149868,2022-10-29 16:35:08.526374,0 days 00:00:00.376506,1081,50.0,50,COMPLETE
186,186,0.86875,2022-10-29 16:35:08.527174,2022-10-29 16:35:08.786879,0 days 00:00:00.259705,991,50.0,10,COMPLETE
187,187,0.8640625,2022-10-29 16:35:08.787349,2022-10-29 16:35:09.080336,0 days 00:00:00.292987,1001,50.0,10,COMPLETE
188,188,0.8359375,2022-10-29 16:35:09.080818,2022-10-29 16:35:09.511504,0 days 00:00:00.430686,991,50.0,90,COMPLETE
189,189,0.84375,2022-10-29 16:35:09.512119,2022-10-29 16:35:10.108314,0 days 00:00:00.596195,1231,50.0,70,COMPLETE
190,190,0.878125,2022-10-29 16:35:10.108905,2022-10-29 16:35:10.423112,0 days 00:00:00.314207,1391,50.0,10,COMPLETE
191,191,0.8625,2022-10-29 16:35:10.423596,2022-10-29 16:35:10.800914,0 days 00:00:00.377318,1581,50.0,10,COMPLETE
192,192,0.8734375,2022-10-29 16:35:10.801417,2022-10-29 16:35:11.134857,0 days 00:00:00.333440,1431,50.0,10,COMPLETE
193,193,0.846875,2022-10-29 16:35:11.135326,2022-10-29 16:35:11.548793,0 days 00:00:00.413467,1381,50.0,30,COMPLETE
194,194,0.853125,2022-10-29 16:35:11.549582,2022-10-29 16:35:11.952410,0 days 00:00:00.402828,1401,50.0,50,COMPLETE
